name,artist,popularity,release_date,genre
I Say a Little Prayer,Aretha Franklin,78,1968-06-14,jazz
Hit the Road Jack,Ray Charles,73,2021-09-10,jazz
Amor y Control,Rubén Blades,63,1991,jazz
Llévame en un Beso,Paté de Fuá,56,2016-04-01,jazz
La vie en rose - Single Version,Louis Armstrong,72,1952-04-01,jazz
Hit the Road Jack,Ray Charles,70,2021-06-04,jazz
Mi Corazón,Paté de Fuá,57,2014-04-01,jazz
At Last,Etta James,78,1960,jazz
Te Guardo,Silvana Estrada,58,2018-12-14,jazz
Just the Two of Us (feat. Bill Withers),"Grover Washington, Jr.",77,1985,jazz
Habits,Scott Bradlee's Postmodern Jukebox,65,2015-01-13,jazz
Sabré Olvidar,Silvana Estrada,56,2018-12-14,jazz
Home,Michael Bublé,73,2005-02-08,jazz
Take Five,The Dave Brubeck Quartet,71,1959-12-14,jazz
Fantasy,"Earth, Wind & Fire",67,1978-11-23,jazz
Chan Chan,Buena Vista Social Club,73,1997-06-23,jazz
Don't Know Why,Norah Jones,79,2002-02-26,jazz
Everything,Michael Bublé,73,2007-04-27,jazz
The Girl From Ipanema,Stan Getz,70,1964-03-01,jazz
Unforgettable,Nat King Cole,71,1954-01-01,jazz
Garota De Ipanema,Antônio Carlos Jobim,65,2007-06-20,jazz
Lone Digger,Caravan Palace,58,2015-10-16,jazz
My Baby Just Cares for Me (2013 - Remaster),Nina Simone,72,2013-08-27,jazz
After the Love Has Gone,"Earth, Wind & Fire",69,1979-06,jazz
Decisiones,Rubén Blades,63,1984-04-03,jazz
Mas Que Nada - 2011 Rio Version,Sérgio Mendes,66,2011-01-01,jazz
I Put A Spell On You,Nina Simone,70,1965-06-01,jazz
Dos Gardenias,Buena Vista Social Club,66,1997-06-23,jazz
"It's Been a Long, Long Time",Harry James,60,2008-10-29,jazz
Beyond the Sea,Bobby Darin,72,1959,jazz
Haven't Met You Yet,Michael Bublé,73,2009-10-06,jazz
Time Moves Slow,BADBADNOTGOOD,70,2016-07-08,jazz
Everybody Loves Somebody,Dean Martin,70,1964,jazz
I've Got a Woman,Ray Charles,70,1957-01-01,jazz
September,"Earth, Wind & Fire",66,2018-04-17,jazz
